Job Title,Company,Location,Experience Level,Date,Job Description,Cleaned Description
Frontend Developer,Google,Pune,Mid Level,2025-11-30,"Join Google as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in React, Redux, Sass. Knowledge of JavaScript, Vue, Agile is a plus.","join google as a frontend developer. we are looking for talented individuals. requirements must have strong experience in react, redux, sass. knowledge of javascript, vue, agile is a plus."
Frontend Developer,TechGiant,Delhi,Entry Level,2025-04-16,"Join InnovateAI as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in JavaScript, Redux, Sass. Knowledge of Vue, React is a plus.","join innovateai as a frontend developer. we are looking for talented individuals. requirements must have strong experience in javascript, redux, sass. knowledge of vue, react is a plus."
Frontend Developer,Microsoft,Hyderabad,Entry Level,2025-11-01,"Join StartupX as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in TypeScript, Vue, Redux. Knowledge of React, Sass, JavaScript, Agile is a plus.","join startupx as a frontend developer. we are looking for talented individuals. requirements must have strong experience in typescript, vue, redux. knowledge of react, sass, javascript, agile is a plus."
Frontend Developer,Microsoft,Remote,Senior Level,2025-09-05,"Join StartupX as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in TypeScript, Redux, React. Knowledge of JavaScript, Vue, Sass is a plus.","join startupx as a frontend developer. we are looking for talented individuals. requirements must have strong experience in typescript, redux, react. knowledge of javascript, vue, sass is a plus."
DevOps Engineer,Microsoft,Pune,Senior Level,2026-03-17,"Join Infosys as a DevOps Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Linux, Kubernetes, Docker. Knowledge of AWS, Jenkins, CI/CD, Agile is a plus.","join infosys as a devops engineer. we are looking for talented individuals. requirements must have strong experience in linux, kubernetes, docker. knowledge of aws, jenkins, cicd, agile is a plus."
ML Engineer,Google,Pune,Senior Level,2025-04-18,"Join TCS as a ML Engineer. We are looking for talented individuals. Requirements: Must have strong experience in AWS, Spark, TensorFlow. Knowledge of Python, Teamwork is a plus.","join tcs as a ml engineer. we are looking for talented individuals. requirements must have strong experience in aws, spark, tensorflow. knowledge of python, teamwork is a plus."
Backend Developer,TechGiant,Delhi,Mid Level,2025-06-28,"Join TCS as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Go, SQL, Kubernetes. Knowledge of API Design, Redis, Python, Agile is a plus.","join tcs as a backend developer. we are looking for talented individuals. requirements must have strong experience in go, sql, kubernetes. knowledge of api design, redis, python, agile is a plus."
ML Engineer,Google,Hyderabad,Senior Level,2025-04-07,"Join TechGiant as a ML Engineer. We are looking for talented individuals. Requirements: Must have strong experience in PyTorch, Docker, Machine Learning. Knowledge of Python, AWS, Spark, Agile is a plus.","join techgiant as a ml engineer. we are looking for talented individuals. requirements must have strong experience in pytorch, docker, machine learning. knowledge of python, aws, spark, agile is a plus."
Web Developer,TechGiant,Bangalore,Mid Level,2025-10-30,"Join Google as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in HTML, Flask, Node.js. Knowledge of CSS, React, Django, JavaScript, Teamwork is a plus.","join google as a web developer. we are looking for talented individuals. requirements must have strong experience in html, flask, node.js. knowledge of css, react, django, javascript, teamwork is a plus."
Data Scientist,StartupX,Bangalore,Mid Level,2025-06-25,"Join Microsoft as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in NLTK, SQL, Machine Learning. Knowledge of Python, Pandas, Statistics, Communication is a plus.","join microsoft as a data scientist. we are looking for talented individuals. requirements must have strong experience in nltk, sql, machine learning. knowledge of python, pandas, statistics, communication is a plus."
Web Developer,Google,Remote,Senior Level,2025-08-05,"Join InnovateAI as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in Node.js, CSS, Flask. Knowledge of Django, React is a plus.","join innovateai as a web developer. we are looking for talented individuals. requirements must have strong experience in node.js, css, flask. knowledge of django, react is a plus."
DevOps Engineer,Infosys,Pune,Mid Level,2025-03-26,"Join Microsoft as a DevOps Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Linux, Kubernetes, Docker. Knowledge of Terraform, Jenkins, CI/CD, AWS, Agile is a plus.","join microsoft as a devops engineer. we are looking for talented individuals. requirements must have strong experience in linux, kubernetes, docker. knowledge of terraform, jenkins, cicd, aws, agile is a plus."
Frontend Developer,Google,Remote,Entry Level,2025-05-30,"Join StartupX as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in React, TypeScript, Sass. Knowledge of Vue, Redux is a plus.","join startupx as a frontend developer. we are looking for talented individuals. requirements must have strong experience in react, typescript, sass. knowledge of vue, redux is a plus."
Frontend Developer,TCS,Bangalore,Senior Level,2026-01-22,"Join Microsoft as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Sass, JavaScript, Vue. Knowledge of TypeScript, React is a plus.","join microsoft as a frontend developer. we are looking for talented individuals. requirements must have strong experience in sass, javascript, vue. knowledge of typescript, react is a plus."
ML Engineer,TechGiant,Remote,Senior Level,2025-11-19,"Join StartupX as a ML Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Machine Learning, PyTorch, TensorFlow. Knowledge of AWS, Docker, Python, Spark, Agile is a plus.","join startupx as a ml engineer. we are looking for talented individuals. requirements must have strong experience in machine learning, pytorch, tensorflow. knowledge of aws, docker, python, spark, agile is a plus."
Web Developer,StartupX,Delhi,Mid Level,2025-12-27,"Join TCS as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in React, Django, Flask. Knowledge of JavaScript, Agile is a plus.","join tcs as a web developer. we are looking for talented individuals. requirements must have strong experience in react, django, flask. knowledge of javascript, agile is a plus."
Frontend Developer,InnovateAI,Remote,Mid Level,2025-09-13,"Join Microsoft as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Redux, Vue, Sass. Knowledge of TypeScript, Communication is a plus.","join microsoft as a frontend developer. we are looking for talented individuals. requirements must have strong experience in redux, vue, sass. knowledge of typescript, communication is a plus."
Data Scientist,Amazon,Mumbai,Entry Level,2025-06-27,"Join Amazon as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in NLTK, Python, Machine Learning. Knowledge of SQL, Scikit-Learn, Statistics is a plus.","join amazon as a data scientist. we are looking for talented individuals. requirements must have strong experience in nltk, python, machine learning. knowledge of sql, scikitlearn, statistics is a plus."
Data Scientist,Infosys,Bangalore,Entry Level,2026-01-05,"Join Microsoft as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in Python, SQL, Machine Learning. Knowledge of Statistics, Pandas, Scikit-Learn is a plus.","join microsoft as a data scientist. we are looking for talented individuals. requirements must have strong experience in python, sql, machine learning. knowledge of statistics, pandas, scikitlearn is a plus."
DevOps Engineer,InnovateAI,Hyderabad,Senior Level,2025-08-16,"Join InnovateAI as a DevOps Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Docker, Jenkins, AWS. Knowledge of Terraform, Agile is a plus.","join innovateai as a devops engineer. we are looking for talented individuals. requirements must have strong experience in docker, jenkins, aws. knowledge of terraform, agile is a plus."
Frontend Developer,Microsoft,Bangalore,Senior Level,2026-03-24,"Join StartupX as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Redux, React, Sass. Knowledge of Vue, Communication is a plus.","join startupx as a frontend developer. we are looking for talented individuals. requirements must have strong experience in redux, react, sass. knowledge of vue, communication is a plus."
Backend Developer,Infosys,Hyderabad,Entry Level,2026-01-17,"Join Infosys as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in SQL, Kubernetes, API Design. Knowledge of Python, Redis, Go is a plus.","join infosys as a backend developer. we are looking for talented individuals. requirements must have strong experience in sql, kubernetes, api design. knowledge of python, redis, go is a plus."
Frontend Developer,TCS,Delhi,Entry Level,2025-05-29,"Join Infosys as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Redux, React, Sass. Knowledge of JavaScript, TypeScript, Vue, Teamwork is a plus.","join infosys as a frontend developer. we are looking for talented individuals. requirements must have strong experience in redux, react, sass. knowledge of javascript, typescript, vue, teamwork is a plus."
Frontend Developer,Google,Bangalore,Mid Level,2025-09-04,"Join StartupX as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Vue, React, TypeScript. Knowledge of Redux, Communication is a plus.","join startupx as a frontend developer. we are looking for talented individuals. requirements must have strong experience in vue, react, typescript. knowledge of redux, communication is a plus."
Data Scientist,Amazon,Bangalore,Mid Level,2025-11-22,"Join TechGiant as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in Python, Machine Learning, NLTK. Knowledge of Pandas, Scikit-Learn, Statistics, SQL, Teamwork is a plus.","join techgiant as a data scientist. we are looking for talented individuals. requirements must have strong experience in python, machine learning, nltk. knowledge of pandas, scikitlearn, statistics, sql, teamwork is a plus."
Frontend Developer,InnovateAI,Bangalore,Senior Level,2025-04-12,"Join Microsoft as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Sass, Vue, React. Knowledge of JavaScript, Redux, TypeScript is a plus.","join microsoft as a frontend developer. we are looking for talented individuals. requirements must have strong experience in sass, vue, react. knowledge of javascript, redux, typescript is a plus."
Data Scientist,Google,Mumbai,Entry Level,2025-11-16,"Join TCS as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in Machine Learning, Python, Statistics. Knowledge of NLTK is a plus.","join tcs as a data scientist. we are looking for talented individuals. requirements must have strong experience in machine learning, python, statistics. knowledge of nltk is a plus."
Web Developer,Google,Bangalore,Senior Level,2025-09-12,"Join Google as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in React, CSS, Node.js. Knowledge of Django, Flask is a plus.","join google as a web developer. we are looking for talented individuals. requirements must have strong experience in react, css, node.js. knowledge of django, flask is a plus."
Web Developer,InnovateAI,Delhi,Senior Level,2026-03-14,"Join StartupX as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in Flask, CSS, React. Knowledge of Node.js, JavaScript, HTML, Django, Communication is a plus.","join startupx as a web developer. we are looking for talented individuals. requirements must have strong experience in flask, css, react. knowledge of node.js, javascript, html, django, communication is a plus."
Web Developer,Microsoft,Pune,Senior Level,2026-01-17,"Join StartupX as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in Django, Flask, React. Knowledge of CSS is a plus.","join startupx as a web developer. we are looking for talented individuals. requirements must have strong experience in django, flask, react. knowledge of css is a plus."
Frontend Developer,TCS,Delhi,Entry Level,2025-07-26,"Join Microsoft as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Vue, TypeScript, JavaScript. Knowledge of React, Communication is a plus.","join microsoft as a frontend developer. we are looking for talented individuals. requirements must have strong experience in vue, typescript, javascript. knowledge of react, communication is a plus."
Frontend Developer,Amazon,Hyderabad,Entry Level,2025-09-07,"Join TCS as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in TypeScript, Vue, Sass. Knowledge of JavaScript, Agile is a plus.","join tcs as a frontend developer. we are looking for talented individuals. requirements must have strong experience in typescript, vue, sass. knowledge of javascript, agile is a plus."
Backend Developer,TechGiant,Hyderabad,Mid Level,2025-04-20,"Join Microsoft as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in SQL, Go, Python. Knowledge of Redis, API Design, Java, Teamwork is a plus.","join microsoft as a backend developer. we are looking for talented individuals. requirements must have strong experience in sql, go, python. knowledge of redis, api design, java, teamwork is a plus."
ML Engineer,Infosys,Mumbai,Senior Level,2025-07-14,"Join Google as a ML Engineer. We are looking for talented individuals. Requirements: Must have strong experience in AWS, TensorFlow, Machine Learning. Knowledge of PyTorch is a plus.","join google as a ml engineer. we are looking for talented individuals. requirements must have strong experience in aws, tensorflow, machine learning. knowledge of pytorch is a plus."
Data Scientist,Google,Remote,Mid Level,2025-07-31,"Join StartupX as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in Python, NLTK, Statistics. Knowledge of Pandas, Teamwork is a plus.","join startupx as a data scientist. we are looking for talented individuals. requirements must have strong experience in python, nltk, statistics. knowledge of pandas, teamwork is a plus."
Backend Developer,Infosys,Remote,Senior Level,2025-12-08,"Join StartupX as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in SQL, Python, Go. Knowledge of Java, Agile is a plus.","join startupx as a backend developer. we are looking for talented individuals. requirements must have strong experience in sql, python, go. knowledge of java, agile is a plus."
DevOps Engineer,StartupX,Mumbai,Senior Level,2025-10-08,"Join InnovateAI as a DevOps Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Docker, CI/CD, Linux. Knowledge of Terraform, Kubernetes, AWS, Jenkins, Teamwork is a plus.","join innovateai as a devops engineer. we are looking for talented individuals. requirements must have strong experience in docker, cicd, linux. knowledge of terraform, kubernetes, aws, jenkins, teamwork is a plus."
Backend Developer,Amazon,Mumbai,Senior Level,2025-05-23,"Join TechGiant as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Go, Kubernetes, Redis. Knowledge of SQL, Java, API Design, Python is a plus.","join techgiant as a backend developer. we are looking for talented individuals. requirements must have strong experience in go, kubernetes, redis. knowledge of sql, java, api design, python is a plus."
Frontend Developer,InnovateAI,Bangalore,Mid Level,2025-06-23,"Join TechGiant as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Sass, TypeScript, Redux. Knowledge of Vue, JavaScript, React, Teamwork is a plus.","join techgiant as a frontend developer. we are looking for talented individuals. requirements must have strong experience in sass, typescript, redux. knowledge of vue, javascript, react, teamwork is a plus."
Frontend Developer,Infosys,Mumbai,Mid Level,2025-12-26,"Join Amazon as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in TypeScript, Redux, React. Knowledge of Sass, JavaScript, Agile is a plus.","join amazon as a frontend developer. we are looking for talented individuals. requirements must have strong experience in typescript, redux, react. knowledge of sass, javascript, agile is a plus."
Web Developer,TechGiant,Hyderabad,Entry Level,2025-03-30,"Join Amazon as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in React, Node.js, HTML. Knowledge of Flask, Django, Communication is a plus.","join amazon as a web developer. we are looking for talented individuals. requirements must have strong experience in react, node.js, html. knowledge of flask, django, communication is a plus."
Data Scientist,TCS,Remote,Entry Level,2025-04-14,"Join TCS as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in Machine Learning, Pandas, NLTK. Knowledge of Statistics, Scikit-Learn, Teamwork is a plus.","join tcs as a data scientist. we are looking for talented individuals. requirements must have strong experience in machine learning, pandas, nltk. knowledge of statistics, scikitlearn, teamwork is a plus."
Web Developer,Microsoft,Hyderabad,Senior Level,2025-05-18,"Join Amazon as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in Flask, React, Node.js. Knowledge of Django, HTML, Agile is a plus.","join amazon as a web developer. we are looking for talented individuals. requirements must have strong experience in flask, react, node.js. knowledge of django, html, agile is a plus."
ML Engineer,Infosys,Bangalore,Senior Level,2025-04-15,"Join TCS as a ML Engineer. We are looking for talented individuals. Requirements: Must have strong experience in AWS, TensorFlow, Docker. Knowledge of Python is a plus.","join tcs as a ml engineer. we are looking for talented individuals. requirements must have strong experience in aws, tensorflow, docker. knowledge of python is a plus."
Web Developer,StartupX,Mumbai,Mid Level,2025-08-23,"Join Infosys as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in Node.js, React, Django. Knowledge of CSS, Flask, Agile is a plus.","join infosys as a web developer. we are looking for talented individuals. requirements must have strong experience in node.js, react, django. knowledge of css, flask, agile is a plus."
Backend Developer,TechGiant,Delhi,Senior Level,2025-11-17,"Join StartupX as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Java, SQL, Redis. Knowledge of Python is a plus.","join startupx as a backend developer. we are looking for talented individuals. requirements must have strong experience in java, sql, redis. knowledge of python is a plus."
ML Engineer,Google,Bangalore,Mid Level,2025-12-13,"Join Google as a ML Engineer. We are looking for talented individuals. Requirements: Must have strong experience in AWS, Python, PyTorch. Knowledge of Docker, Spark, Machine Learning, TensorFlow is a plus.","join google as a ml engineer. we are looking for talented individuals. requirements must have strong experience in aws, python, pytorch. knowledge of docker, spark, machine learning, tensorflow is a plus."
Data Scientist,TCS,Remote,Mid Level,2025-03-31,"Join Infosys as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in Statistics, Machine Learning, Scikit-Learn. Knowledge of SQL, NLTK is a plus.","join infosys as a data scientist. we are looking for talented individuals. requirements must have strong experience in statistics, machine learning, scikitlearn. knowledge of sql, nltk is a plus."
Frontend Developer,Google,Bangalore,Entry Level,2025-05-11,"Join InnovateAI as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Redux, JavaScript, TypeScript. Knowledge of React, Vue, Sass, Communication is a plus.","join innovateai as a frontend developer. we are looking for talented individuals. requirements must have strong experience in redux, javascript, typescript. knowledge of react, vue, sass, communication is a plus."
Web Developer,TCS,Delhi,Senior Level,2025-05-23,"Join TCS as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in Node.js, Django, HTML. Knowledge of CSS, JavaScript, Flask, React is a plus.","join tcs as a web developer. we are looking for talented individuals. requirements must have strong experience in node.js, django, html. knowledge of css, javascript, flask, react is a plus."
Web Developer,TechGiant,Mumbai,Entry Level,2025-08-25,"Join Amazon as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in CSS, JavaScript, React. Knowledge of HTML, Flask, Node.js, Django is a plus.","join amazon as a web developer. we are looking for talented individuals. requirements must have strong experience in css, javascript, react. knowledge of html, flask, node.js, django is a plus."
Frontend Developer,StartupX,Hyderabad,Entry Level,2025-05-08,"Join Infosys as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in React, Redux, JavaScript. Knowledge of Vue, Sass, TypeScript, Communication is a plus.","join infosys as a frontend developer. we are looking for talented individuals. requirements must have strong experience in react, redux, javascript. knowledge of vue, sass, typescript, communication is a plus."
Frontend Developer,Amazon,Bangalore,Mid Level,2025-04-01,"Join InnovateAI as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Sass, JavaScript, Redux. Knowledge of Vue, Agile is a plus.","join innovateai as a frontend developer. we are looking for talented individuals. requirements must have strong experience in sass, javascript, redux. knowledge of vue, agile is a plus."
Web Developer,Infosys,Pune,Mid Level,2025-07-23,"Join Google as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in React, CSS, Node.js. Knowledge of JavaScript, HTML, Agile is a plus.","join google as a web developer. we are looking for talented individuals. requirements must have strong experience in react, css, node.js. knowledge of javascript, html, agile is a plus."
Backend Developer,Infosys,Mumbai,Mid Level,2025-10-08,"Join Google as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in API Design, Go, Redis. Knowledge of Kubernetes, Python, SQL, Java, Teamwork is a plus.","join google as a backend developer. we are looking for talented individuals. requirements must have strong experience in api design, go, redis. knowledge of kubernetes, python, sql, java, teamwork is a plus."
Data Scientist,TechGiant,Pune,Senior Level,2026-02-08,"Join Infosys as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in Pandas, NLTK, Machine Learning. Knowledge of Scikit-Learn, Python is a plus.","join infosys as a data scientist. we are looking for talented individuals. requirements must have strong experience in pandas, nltk, machine learning. knowledge of scikitlearn, python is a plus."
DevOps Engineer,StartupX,Hyderabad,Entry Level,2025-05-05,"Join TCS as a DevOps Engineer. We are looking for talented individuals. Requirements: Must have strong experience in AWS, CI/CD, Kubernetes. Knowledge of Jenkins, Linux, Agile is a plus.","join tcs as a devops engineer. we are looking for talented individuals. requirements must have strong experience in aws, cicd, kubernetes. knowledge of jenkins, linux, agile is a plus."
DevOps Engineer,Amazon,Hyderabad,Senior Level,2026-01-17,"Join Amazon as a DevOps Engineer. We are looking for talented individuals. Requirements: Must have strong experience in AWS, Linux, Docker. Knowledge of Jenkins, CI/CD, Terraform, Communication is a plus.","join amazon as a devops engineer. we are looking for talented individuals. requirements must have strong experience in aws, linux, docker. knowledge of jenkins, cicd, terraform, communication is a plus."
ML Engineer,StartupX,Bangalore,Entry Level,2025-11-21,"Join TCS as a ML Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Spark, Docker, AWS. Knowledge of Machine Learning, Python, Communication is a plus.","join tcs as a ml engineer. we are looking for talented individuals. requirements must have strong experience in spark, docker, aws. knowledge of machine learning, python, communication is a plus."
Web Developer,Amazon,Delhi,Senior Level,2026-03-16,"Join Google as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in Flask, React, CSS. Knowledge of Node.js, JavaScript, Django is a plus.","join google as a web developer. we are looking for talented individuals. requirements must have strong experience in flask, react, css. knowledge of node.js, javascript, django is a plus."
Data Scientist,Infosys,Bangalore,Mid Level,2025-04-24,"Join TCS as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in Statistics, Machine Learning, Pandas. Knowledge of NLTK, SQL, Scikit-Learn, Python, Teamwork is a plus.","join tcs as a data scientist. we are looking for talented individuals. requirements must have strong experience in statistics, machine learning, pandas. knowledge of nltk, sql, scikitlearn, python, teamwork is a plus."
Backend Developer,TCS,Hyderabad,Mid Level,2026-02-15,"Join Amazon as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Kubernetes, API Design, Java. Knowledge of Python, SQL is a plus.","join amazon as a backend developer. we are looking for talented individuals. requirements must have strong experience in kubernetes, api design, java. knowledge of python, sql is a plus."
Web Developer,Google,Remote,Entry Level,2025-06-05,"Join TechGiant as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in Node.js, Django, HTML. Knowledge of React, CSS, Agile is a plus.","join techgiant as a web developer. we are looking for talented individuals. requirements must have strong experience in node.js, django, html. knowledge of react, css, agile is a plus."
ML Engineer,Microsoft,Delhi,Senior Level,2026-01-15,"Join TechGiant as a ML Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Spark, TensorFlow, Machine Learning. Knowledge of Docker, Communication is a plus.","join techgiant as a ml engineer. we are looking for talented individuals. requirements must have strong experience in spark, tensorflow, machine learning. knowledge of docker, communication is a plus."
ML Engineer,Microsoft,Remote,Entry Level,2025-12-29,"Join TechGiant as a ML Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Docker, Python, TensorFlow. Knowledge of Spark, PyTorch, Machine Learning, Agile is a plus.","join techgiant as a ml engineer. we are looking for talented individuals. requirements must have strong experience in docker, python, tensorflow. knowledge of spark, pytorch, machine learning, agile is a plus."
Backend Developer,StartupX,Mumbai,Mid Level,2026-01-19,"Join TCS as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Kubernetes, API Design, Python. Knowledge of Java is a plus.","join tcs as a backend developer. we are looking for talented individuals. requirements must have strong experience in kubernetes, api design, python. knowledge of java is a plus."
Data Scientist,StartupX,Pune,Senior Level,2025-04-12,"Join Google as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in Pandas, SQL, Machine Learning. Knowledge of Python, Statistics is a plus.","join google as a data scientist. we are looking for talented individuals. requirements must have strong experience in pandas, sql, machine learning. knowledge of python, statistics is a plus."
DevOps Engineer,Google,Bangalore,Mid Level,2025-07-27,"Join StartupX as a DevOps Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Kubernetes, Linux, Jenkins. Knowledge of Docker, Terraform, Communication is a plus.","join startupx as a devops engineer. we are looking for talented individuals. requirements must have strong experience in kubernetes, linux, jenkins. knowledge of docker, terraform, communication is a plus."
ML Engineer,Microsoft,Bangalore,Mid Level,2025-05-14,"Join Google as a ML Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Docker, PyTorch, AWS. Knowledge of TensorFlow, Machine Learning, Python, Communication is a plus.","join google as a ml engineer. we are looking for talented individuals. requirements must have strong experience in docker, pytorch, aws. knowledge of tensorflow, machine learning, python, communication is a plus."
DevOps Engineer,Microsoft,Pune,Mid Level,2025-07-11,"Join Google as a DevOps Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Linux, Docker, Jenkins. Knowledge of Kubernetes, Terraform, CI/CD, AWS, Agile is a plus.","join google as a devops engineer. we are looking for talented individuals. requirements must have strong experience in linux, docker, jenkins. knowledge of kubernetes, terraform, cicd, aws, agile is a plus."
Backend Developer,InnovateAI,Delhi,Mid Level,2025-08-31,"Join Infosys as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in API Design, Go, Redis. Knowledge of SQL, Python, Agile is a plus.","join infosys as a backend developer. we are looking for talented individuals. requirements must have strong experience in api design, go, redis. knowledge of sql, python, agile is a plus."
