Job Title,Company,Location,Experience Level,Date,Job Description
Web Developer,Amazon,Delhi,Senior Level,2026-03-16,"Join Google as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in Flask, React, CSS. Knowledge of Node.js, JavaScript, Django is a plus."
Data Scientist,Infosys,Bangalore,Mid Level,2025-04-24,"Join TCS as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in Statistics, Machine Learning, Pandas. Knowledge of NLTK, SQL, Scikit-Learn, Python, Teamwork is a plus."
Backend Developer,TCS,Hyderabad,Mid Level,2026-02-15,"Join Amazon as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Kubernetes, API Design, Java. Knowledge of Python, SQL is a plus."
Web Developer,Google,Remote,Entry Level,2025-06-05,"Join TechGiant as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in Node.js, Django, HTML. Knowledge of React, CSS, Agile is a plus."
ML Engineer,Microsoft,Delhi,Senior Level,2026-01-15,"Join TechGiant as a ML Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Spark, TensorFlow, Machine Learning. Knowledge of Docker, Communication is a plus."
ML Engineer,Microsoft,Remote,Entry Level,2025-12-29,"Join TechGiant as a ML Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Docker, Python, TensorFlow. Knowledge of Spark, PyTorch, Machine Learning, Agile is a plus."
Backend Developer,StartupX,Mumbai,Mid Level,2026-01-19,"Join TCS as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Kubernetes, API Design, Python. Knowledge of Java is a plus."
Data Scientist,StartupX,Pune,Senior Level,2025-04-12,"Join Google as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in Pandas, SQL, Machine Learning. Knowledge of Python, Statistics is a plus."
DevOps Engineer,Google,Bangalore,Mid Level,2025-07-27,"Join StartupX as a DevOps Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Kubernetes, Linux, Jenkins. Knowledge of Docker, Terraform, Communication is a plus."
ML Engineer,Microsoft,Bangalore,Mid Level,2025-05-14,"Join Google as a ML Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Docker, PyTorch, AWS. Knowledge of TensorFlow, Machine Learning, Python, Communication is a plus."
DevOps Engineer,Microsoft,Pune,Mid Level,2025-07-11,"Join Google as a DevOps Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Linux, Docker, Jenkins. Knowledge of Kubernetes, Terraform, CI/CD, AWS, Agile is a plus."
Backend Developer,InnovateAI,Delhi,Mid Level,2025-08-31,"Join Infosys as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in API Design, Go, Redis. Knowledge of SQL, Python, Agile is a plus."
Data Scientist,TCS,Delhi,Mid Level,2025-09-13,"Join Infosys as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in Pandas, Statistics, SQL. Knowledge of Scikit-Learn, Python, Machine Learning is a plus."
Backend Developer,TCS,Bangalore,Entry Level,2025-06-04,"Join Amazon as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in SQL, Go, Python. Knowledge of API Design, Kubernetes, Agile is a plus."
Web Developer,Amazon,Mumbai,Entry Level,2026-02-17,"Join StartupX as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in Django, HTML, React. Knowledge of JavaScript, CSS is a plus."
DevOps Engineer,InnovateAI,Delhi,Mid Level,2025-04-20,"Join Amazon as a DevOps Engineer. We are looking for talented individuals. Requirements: Must have strong experience in CI/CD, Terraform, Docker. Knowledge of AWS, Jenkins, Kubernetes, Linux, Communication is a plus."
Data Scientist,Infosys,Remote,Entry Level,2025-04-05,"Join InnovateAI as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in Pandas, Machine Learning, Statistics. Knowledge of Python, NLTK, Scikit-Learn, SQL, Teamwork is a plus."
DevOps Engineer,TCS,Bangalore,Mid Level,2025-07-15,"Join Microsoft as a DevOps Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Docker, CI/CD, Terraform. Knowledge of Linux, AWS, Kubernetes, Jenkins is a plus."
Data Scientist,TechGiant,Hyderabad,Entry Level,2025-04-05,"Join TCS as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in Machine Learning, SQL, Scikit-Learn. Knowledge of NLTK, Python, Statistics, Agile is a plus."
ML Engineer,Amazon,Delhi,Mid Level,2025-06-08,"Join InnovateAI as a ML Engineer. We are looking for talented individuals. Requirements: Must have strong experience in PyTorch, Docker, AWS. Knowledge of Machine Learning, Python, Agile is a plus."
Data Scientist,TechGiant,Mumbai,Mid Level,2025-05-02,"Join Google as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in SQL, Machine Learning, Python. Knowledge of NLTK, Statistics is a plus."
Backend Developer,TCS,Pune,Entry Level,2026-01-16,"Join TCS as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Kubernetes, Redis, Java. Knowledge of SQL is a plus."
Data Scientist,Infosys,Remote,Entry Level,2026-03-01,"Join TechGiant as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in SQL, Machine Learning, Pandas. Knowledge of Statistics, NLTK is a plus."
DevOps Engineer,Google,Hyderabad,Senior Level,2026-02-05,"Join Amazon as a DevOps Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Linux, Terraform, Docker. Knowledge of Jenkins, Kubernetes, CI/CD, AWS, Teamwork is a plus."
Backend Developer,Google,Bangalore,Senior Level,2026-01-08,"Join TechGiant as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Python, SQL, Redis. Knowledge of Go, API Design, Java, Kubernetes is a plus."
Data Scientist,Amazon,Pune,Mid Level,2025-12-29,"Join Microsoft as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in Machine Learning, Pandas, SQL. Knowledge of Statistics, Scikit-Learn is a plus."
ML Engineer,Infosys,Delhi,Senior Level,2025-12-31,"Join TechGiant as a ML Engineer. We are looking for talented individuals. Requirements: Must have strong experience in TensorFlow, Docker, AWS. Knowledge of Python, PyTorch, Spark is a plus."
Backend Developer,TCS,Hyderabad,Entry Level,2026-03-06,"Join InnovateAI as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Go, Kubernetes, Redis. Knowledge of Python, API Design, SQL is a plus."
Web Developer,TechGiant,Mumbai,Entry Level,2025-07-13,"Join Google as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in Django, JavaScript, Node.js. Knowledge of Flask is a plus."
Data Scientist,Microsoft,Delhi,Senior Level,2025-09-23,"Join TechGiant as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in Statistics, NLTK, Pandas. Knowledge of Scikit-Learn, Agile is a plus."
Data Scientist,TCS,Bangalore,Senior Level,2025-07-11,"Join InnovateAI as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in Pandas, Machine Learning, Scikit-Learn. Knowledge of SQL is a plus."
Data Scientist,Google,Pune,Entry Level,2025-12-09,"Join Infosys as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in Scikit-Learn, Pandas, Python. Knowledge of Machine Learning, Statistics, SQL, NLTK is a plus."
Data Scientist,Amazon,Hyderabad,Entry Level,2025-09-22,"Join StartupX as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in Scikit-Learn, Pandas, SQL. Knowledge of Python, NLTK, Teamwork is a plus."
DevOps Engineer,Infosys,Hyderabad,Entry Level,2026-01-15,"Join TechGiant as a DevOps Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Jenkins, Kubernetes, Terraform. Knowledge of AWS is a plus."
ML Engineer,TechGiant,Pune,Entry Level,2025-12-02,"Join StartupX as a ML Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Python, Machine Learning, TensorFlow. Knowledge of AWS, Docker is a plus."
Frontend Developer,StartupX,Remote,Mid Level,2026-02-10,"Join InnovateAI as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Vue, React, Sass. Knowledge of Redux, JavaScript, Communication is a plus."
Web Developer,TechGiant,Mumbai,Mid Level,2026-02-24,"Join StartupX as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in HTML, Django, Flask. Knowledge of React, Communication is a plus."
DevOps Engineer,InnovateAI,Hyderabad,Mid Level,2025-09-26,"Join TechGiant as a DevOps Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Docker, Terraform, CI/CD. Knowledge of Kubernetes, Communication is a plus."
ML Engineer,StartupX,Mumbai,Entry Level,2026-01-15,"Join Google as a ML Engineer. We are looking for talented individuals. Requirements: Must have strong experience in PyTorch, Python, AWS. Knowledge of Spark, Teamwork is a plus."
Web Developer,StartupX,Bangalore,Mid Level,2025-04-07,"Join TechGiant as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in Django, HTML, React. Knowledge of JavaScript, Node.js, Flask, Communication is a plus."
Web Developer,Amazon,Mumbai,Senior Level,2025-05-08,"Join Microsoft as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in Django, React, CSS. Knowledge of Node.js, Flask, HTML, Teamwork is a plus."
Data Scientist,Microsoft,Bangalore,Entry Level,2025-06-27,"Join Microsoft as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in SQL, NLTK, Python. Knowledge of Statistics, Agile is a plus."
Frontend Developer,StartupX,Hyderabad,Senior Level,2025-07-17,"Join StartupX as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Vue, Sass, TypeScript. Knowledge of Redux is a plus."
Backend Developer,Infosys,Mumbai,Entry Level,2025-04-07,"Join Google as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in API Design, Redis, Go. Knowledge of SQL, Kubernetes, Java, Python is a plus."
Web Developer,Amazon,Delhi,Senior Level,2025-06-21,"Join Amazon as a Web Developer. We are looking for talented individuals. Requirements: Must have strong experience in Node.js, HTML, JavaScript. Knowledge of Django, Communication is a plus."
Backend Developer,TCS,Remote,Entry Level,2025-08-25,"Join Google as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in API Design, Python, Kubernetes. Knowledge of SQL, Redis, Java, Agile is a plus."
Backend Developer,TechGiant,Mumbai,Entry Level,2025-09-29,"Join Microsoft as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Java, SQL, Python. Knowledge of Kubernetes, Redis, Go is a plus."
DevOps Engineer,StartupX,Pune,Mid Level,2026-01-03,"Join Microsoft as a DevOps Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Terraform, Linux, Docker. Knowledge of Kubernetes, Jenkins, AWS, Communication is a plus."
Data Scientist,StartupX,Bangalore,Mid Level,2025-07-06,"Join TCS as a Data Scientist. We are looking for talented individuals. Requirements: Must have strong experience in Scikit-Learn, Machine Learning, Python. Knowledge of SQL, Pandas, NLTK, Statistics, Agile is a plus."
Backend Developer,TCS,Hyderabad,Mid Level,2025-05-27,"Join Amazon as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Python, API Design, SQL. Knowledge of Kubernetes, Java is a plus."
Backend Developer,Microsoft,Pune,Mid Level,2025-11-05,"Join TechGiant as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in API Design, Go, SQL. Knowledge of Redis, Kubernetes, Agile is a plus."
Frontend Developer,TCS,Bangalore,Mid Level,2025-04-28,"Join Amazon as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in TypeScript, Redux, Sass. Knowledge of JavaScript, React, Vue, Agile is a plus."
Backend Developer,Amazon,Delhi,Mid Level,2025-08-23,"Join Infosys as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Java, Go, API Design. Knowledge of SQL, Python, Redis, Agile is a plus."
DevOps Engineer,Amazon,Pune,Senior Level,2025-10-09,"Join StartupX as a DevOps Engineer. We are looking for talented individuals. Requirements: Must have strong experience in AWS, Docker, CI/CD. Knowledge of Terraform, Kubernetes, Jenkins, Linux, Communication is a plus."
Frontend Developer,InnovateAI,Pune,Mid Level,2025-10-31,"Join Microsoft as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in JavaScript, Vue, TypeScript. Knowledge of React, Sass, Agile is a plus."
Frontend Developer,StartupX,Delhi,Entry Level,2025-11-23,"Join Google as a Frontend Developer. We are looking for talented individuals. Requirements: Must have strong experience in React, Sass, Vue. Knowledge of TypeScript, Redux, JavaScript, Teamwork is a plus."
Backend Developer,Infosys,Delhi,Senior Level,2025-07-29,"Join Amazon as a Backend Developer. We are looking for talented individuals. Requirements: Must have strong experience in Java, SQL, Redis. Knowledge of Go, Kubernetes, API Design, Teamwork is a plus."
DevOps Engineer,TechGiant,Mumbai,Senior Level,2025-05-14,"Join TechGiant as a DevOps Engineer. We are looking for talented individuals. Requirements: Must have strong experience in Kubernetes, Linux, Terraform. Knowledge of Jenkins, CI/CD, AWS, Teamwork is a plus."
